epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,3241.03,0.39916,0.28228,0.86085,0.95962,0.95005,0.97973,0.87355,0.3833,0.25017,0.86357,0.000544625,0.000544625,0.000544625
116,3269.39,0.40313,0.28341,0.86498,0.96736,0.94056,0.97994,0.87443,0.3796,0.24953,0.86709,0.000538438,0.000538438,0.000538438
117,3298.53,0.39844,0.2795,0.86119,0.96284,0.94664,0.97948,0.87375,0.38594,0.25023,0.86184,0.00053225,0.00053225,0.00053225
118,3325.65,0.40144,0.28047,0.86055,0.9591,0.95452,0.98044,0.87304,0.38599,0.24842,0.86699,0.000526063,0.000526063,0.000526063
119,3352.89,0.39473,0.27722,0.85955,0.95734,0.95616,0.98001,0.87376,0.38778,0.24814,0.8677,0.000519875,0.000519875,0.000519875
120,3380.22,0.3992,0.27979,0.86021,0.95771,0.95682,0.98177,0.87341,0.38784,0.2471,0.86241,0.000513688,0.000513688,0.000513688
121,3409.3,0.39934,0.27776,0.86067,0.95779,0.94877,0.97815,0.87217,0.37851,0.24955,0.86001,0.0005075,0.0005075,0.0005075
122,3438.16,0.39069,0.27545,0.85716,0.96476,0.94827,0.97974,0.87452,0.38,0.24868,0.85708,0.000501313,0.000501313,0.000501313
123,3466.8,0.39547,0.27933,0.85884,0.95882,0.94692,0.9775,0.87485,0.38096,0.25285,0.86358,0.000495125,0.000495125,0.000495125
124,3494.72,0.39606,0.27913,0.85803,0.96415,0.94584,0.97912,0.87154,0.38981,0.2497,0.87331,0.000488938,0.000488938,0.000488938
125,3523.45,0.39274,0.27499,0.86093,0.95178,0.95759,0.98052,0.87574,0.37989,0.24317,0.85429,0.00048275,0.00048275,0.00048275
126,3550.96,0.39289,0.27778,0.85833,0.95991,0.95238,0.98087,0.87368,0.38451,0.25268,0.85361,0.000476562,0.000476562,0.000476562
127,3578.45,0.39402,0.27666,0.85959,0.9653,0.94596,0.98083,0.87379,0.3838,0.24721,0.86561,0.000470375,0.000470375,0.000470375
128,3605.36,0.38866,0.27348,0.85939,0.95999,0.95661,0.98132,0.87599,0.37652,0.24609,0.84851,0.000464188,0.000464188,0.000464188
129,3634.72,0.39034,0.27476,0.85816,0.95595,0.95349,0.98228,0.87636,0.38213,0.24554,0.86716,0.000458,0.000458,0.000458
130,3662.91,0.38726,0.274,0.85695,0.96111,0.94765,0.98109,0.87821,0.37767,0.24616,0.84736,0.000451813,0.000451813,0.000451813
131,3691.81,0.39214,0.27663,0.85837,0.96133,0.9464,0.98085,0.87667,0.37788,0.24957,0.84612,0.000445625,0.000445625,0.000445625
132,3720.04,0.3895,0.27143,0.8564,0.96449,0.95404,0.982,0.87521,0.38661,0.24809,0.84511,0.000439437,0.000439437,0.000439437
133,3747.95,0.39017,0.27235,0.85893,0.95903,0.9505,0.98014,0.87474,0.37835,0.25087,0.84607,0.00043325,0.00043325,0.00043325
134,3774.93,0.38972,0.27095,0.85708,0.96423,0.94647,0.98195,0.8775,0.37506,0.24352,0.85038,0.000427062,0.000427062,0.000427062
135,3802.26,0.38679,0.26928,0.85727,0.96457,0.94603,0.98168,0.87831,0.37494,0.2456,0.85284,0.000420875,0.000420875,0.000420875
136,3830.2,0.38217,0.26925,0.85352,0.95403,0.95782,0.98343,0.87865,0.37707,0.24538,0.84272,0.000414688,0.000414688,0.000414688
137,3858.69,0.38523,0.26788,0.85576,0.95105,0.96037,0.98063,0.87869,0.36898,0.24015,0.84635,0.0004085,0.0004085,0.0004085
138,3886.01,0.38445,0.2697,0.85313,0.95956,0.95138,0.97942,0.87656,0.3785,0.2457,0.86535,0.000402312,0.000402312,0.000402312
139,3914.54,0.38383,0.26901,0.85464,0.96577,0.94781,0.98076,0.87844,0.37063,0.24282,0.86676,0.000396125,0.000396125,0.000396125
140,3942.22,0.38426,0.26925,0.85744,0.96838,0.94748,0.98128,0.87969,0.37644,0.24123,0.8622,0.000389938,0.000389938,0.000389938
141,3970.73,0.3873,0.26913,0.85773,0.96131,0.95198,0.98213,0.87902,0.37431,0.23808,0.85973,0.00038375,0.00038375,0.00038375
142,3998.82,0.38084,0.26781,0.8533,0.96368,0.95219,0.982,0.87802,0.37247,0.23859,0.85186,0.000377563,0.000377563,0.000377563
143,4026.02,0.38109,0.26448,0.85434,0.96121,0.95367,0.98219,0.87806,0.36732,0.23975,0.84821,0.000371375,0.000371375,0.000371375
144,4053.19,0.38044,0.26458,0.85334,0.95889,0.95276,0.98078,0.879,0.36902,0.2378,0.84528,0.000365188,0.000365188,0.000365188
145,4080.98,0.37846,0.26538,0.85589,0.96169,0.95048,0.97913,0.87866,0.3648,0.24085,0.84368,0.000359,0.000359,0.000359
146,4110.19,0.37804,0.26361,0.8534,0.95564,0.95986,0.98117,0.87881,0.36541,0.23995,0.84597,0.000352812,0.000352812,0.000352812
147,4139.15,0.38054,0.26423,0.85577,0.95748,0.96058,0.97935,0.87606,0.36811,0.23865,0.8452,0.000346625,0.000346625,0.000346625
148,4167.96,0.38005,0.26341,0.85472,0.96119,0.95808,0.98159,0.88101,0.36452,0.23129,0.84425,0.000340438,0.000340438,0.000340438
149,4197.03,0.37166,0.2582,0.85206,0.96371,0.95362,0.98018,0.87936,0.36661,0.2333,0.84664,0.00033425,0.00033425,0.00033425
150,4225.9,0.37615,0.26096,0.85446,0.95887,0.9556,0.98084,0.87925,0.37046,0.23646,0.84654,0.000328063,0.000328063,0.000328063
151,4255.32,0.36953,0.25816,0.85098,0.95596,0.95798,0.98064,0.87987,0.3657,0.23541,0.84457,0.000321875,0.000321875,0.000321875
152,4282.79,0.36721,0.25709,0.85154,0.95922,0.95596,0.97915,0.87981,0.36591,0.23407,0.84609,0.000315687,0.000315687,0.000315687
153,4311.34,0.37448,0.2589,0.85526,0.95794,0.95432,0.98048,0.88103,0.36078,0.23275,0.84529,0.0003095,0.0003095,0.0003095
154,4342.12,0.36935,0.25532,0.85098,0.96095,0.9518,0.98136,0.87864,0.36971,0.23281,0.85488,0.000303313,0.000303313,0.000303313
155,4369.3,0.36955,0.25937,0.85364,0.96097,0.95118,0.98193,0.87886,0.3675,0.23526,0.84535,0.000297125,0.000297125,0.000297125
156,4396.11,0.37453,0.25861,0.85553,0.96549,0.94617,0.98082,0.87979,0.36962,0.23671,0.84665,0.000290937,0.000290937,0.000290937
157,4423.69,0.3733,0.2611,0.85197,0.96294,0.95167,0.98076,0.87987,0.36525,0.23232,0.85121,0.00028475,0.00028475,0.00028475
158,4452.03,0.36722,0.25515,0.85169,0.96231,0.95224,0.98118,0.88026,0.36448,0.23067,0.85966,0.000278562,0.000278562,0.000278562
159,4480.38,0.36772,0.25509,0.85249,0.96178,0.9549,0.98344,0.882,0.36376,0.23212,0.85537,0.000272375,0.000272375,0.000272375
160,4509.7,0.36507,0.2559,0.84758,0.96451,0.95057,0.98138,0.88242,0.36014,0.22837,0.84547,0.000266187,0.000266187,0.000266187
161,4539.02,0.37173,0.25871,0.85155,0.96539,0.94992,0.98319,0.88413,0.35997,0.22852,0.84629,0.00026,0.00026,0.00026
162,4567.07,0.36737,0.25705,0.85149,0.95928,0.95743,0.98173,0.87971,0.36321,0.23166,0.84983,0.000253812,0.000253812,0.000253812
163,4595.76,0.36849,0.25568,0.84997,0.9584,0.95746,0.98234,0.8825,0.36102,0.23052,0.84532,0.000247625,0.000247625,0.000247625
164,4624.1,0.36751,0.25326,0.85143,0.95894,0.95627,0.98108,0.87988,0.36536,0.23248,0.85434,0.000241438,0.000241438,0.000241438
165,4651.01,0.36844,0.25573,0.85162,0.95449,0.96099,0.98094,0.88161,0.36337,0.23029,0.86147,0.00023525,0.00023525,0.00023525
166,4678.62,0.36617,0.25462,0.85145,0.95548,0.95965,0.98048,0.88171,0.36183,0.23038,0.86027,0.000229063,0.000229063,0.000229063
167,4706.19,0.36175,0.25384,0.85125,0.95697,0.95666,0.97935,0.88179,0.36042,0.23356,0.85944,0.000222875,0.000222875,0.000222875
168,4733.96,0.36529,0.25302,0.85183,0.95581,0.9605,0.98104,0.88069,0.36452,0.23377,0.85246,0.000216688,0.000216688,0.000216688
169,4761.8,0.36457,0.25558,0.8521,0.95788,0.9592,0.98138,0.88186,0.36074,0.23148,0.85182,0.0002105,0.0002105,0.0002105
170,4789.37,0.36206,0.25443,0.85007,0.96383,0.95328,0.98192,0.88305,0.35884,0.23133,0.85234,0.000204313,0.000204313,0.000204313
171,4818.16,0.3606,0.25333,0.84821,0.95814,0.95908,0.98324,0.8823,0.35815,0.22805,0.8483,0.000198125,0.000198125,0.000198125
